Grade,Gender,Resolved Race/Ethnicity,Home ZIP Code,Sped,504,EL,Home Language,GPA,Latest College Credit Taken,Total College Credit Taken,Fall SEC TScore,Fall SEC Percentile,Fall SEC Description,Winter SEC TScore,Winter SEC Percentile,Winter SEC Description
9,Female,White,55014,N,,,English (011),1.612,,,28,1,N,,,
11,Female,White,55014,N,,,English (011),1.867,,,36,8,N,,,
12,Male,White,55014,N,,,English (011),2.601,2023,4,42,21,T,,,
9,Female,White,55014,N,,,English (011),1.6,,,57,76,T,52,58,T
11,Female,White,55014,N,,,English (011),1.722,2021,1,60,84,S,64,92,S
12,Female,White,55014,N,,,English (011),3.151,2023,6,,,,,,
11,Female,White,55014,N,,,English (011),1.348,,,,,,,,
11,Female,White,55014,Y,,,English (011),#N/A,,,,,,,,
10,Female,White,55014,N,,,English (011),3.352,2023,1,,,,,,
9,Male,White,55014,Y,,,English (011),1.336,,,,,,,,
10,Male,White,55025,N,,,English (011),2.258,,,33,4,N,48,42,T
10,Male,White,55025,N,,,English (011),1.609,,,34,5,N,36,8,N
10,Male,White,55025,N,,,English (011),2.454,2023,2,37,10,N,32,4,N
12,Female,White,55025,N,,,English (011),1.037,,,38,12,N,,,
10,Female,White,55025,N,,,English (011),3.402,2023,1,39,14,N,39,14,N
11,Female,White,55025,N,,,English (011),2.51,2023,2,44,27,T,49,46,T
11,Male,Asian,55025,N,,,Hmong (020),3.761,2023,3,45,31,T,46,34,T
10,Male,White,55025,N,,,English (011),3.838,2023,2,46,34,T,48,42,T
10,Male,White,55025,N,,,English (011),2.565,,,47,38,T,45,31,T
10,Female,Two or More,55025,N,,,English (011),2.634,2022,1,49,46,T,48,42,T
12,Male,White,55025,N,,,English (011),3.288,2023,1,50,50,T,,,
12,Female,White,55025,N,,,English (011),3.503,2023,6,50,50,T,31,3,N
9,Male,White,55025,N,,,English (011),2.834,,,52,58,T,42,21,T
10,Female,White,55025,N,,,English (011),4.07,2023,2,53,62,T,56,73,T
10,Female,White,55025,N,,,English (011),3.214,,,58,79,T,59,82,T
12,Female,White,55025,N,,,English (011),3.357,,,66,95,S,,,
12,Female,Two or More,55025,N,,,English (011),2.005,,,,,,38,12,N
12,Female,White,55025,Y,,,English (011),3.427,2023,2,,,,,,
12,Female,White,55025,N,,,English (011),3.576,2023,6,,,,42,21,T
12,Male,Hispanic,55025,Y,,,English (011),3.67,,,,,,,,
12,Female,White,55025,N,,,English (011),3.894,2023,6,,,,,,
11,Female,White,55025,Y,,,English (011),2.543,,,,,,32,4,N
11,Male,Hispanic,55025,Y,,,English (011),#N/A,,,,,,,,
10,Male,White,55025,N,,,English (011),3.834,,,,,,45,31,T
9,Female,White,55025,N,,,English (011),2.112,,,,,,48,42,T
9,Male,White,55025,N,,,English (011),3.557,,,,,,,,
11,Female,White,55038,N,X,,English (011),1.828,,,28,1,N,39,14,N
11,Female,Black or African American,55038,N,,Served,English (011),2.934,,,28,1,N,28,1,N
11,Male,White,55038,N,,,English (011),3.123,,,28,1,N,48,42,T
11,Male,White,55038,N,,,English (011),3.446,2023,3,28,1,N,28,1,N
11,Male,White,55038,N,,,English (011),3.512,2023,5,28,1,N,,,
10,Male,Hispanic,55038,N,,,English (011),1.441,,,28,1,N,28,1,N
10,Female,Hispanic,55038,N,,,Spanish (045),1.48,,,28,1,N,28,1,N
10,Female,White,55038,N,,,English (011),2.592,,,28,1,N,28,1,N
10,Male,White,55038,Y,,,English (011),2.869,,,28,1,N,,,
10,Female,White,55038,N,,,English (011),3.445,,,28,1,N,28,1,N
10,Male,White,55038,N,,,English (011),3.598,2023,1,28,1,N,31,3,N
9,Female,White,55038,Y,,,English (011),1.268,,,28,1,N,28,1,N
9,Male,White,55038,N,X,,English (011),3.435,,,28,1,N,34,5,N
9,Female,White,55038,N,,,English (011),3.667,,,28,1,N,28,1,N
12,Male,White,55038,N,,,English (011),2.323,,,29,2,N,,,
12,Female,White,55038,Y,,,English (011),2.267,,,30,2,N,,,
11,Female,White,55038,N,,,English (011),3.768,2023,8,30,2,N,,,
10,Male,White,55038,N,,,English (011),1.37,2023,1,30,2,N,,,
10,Male,White,55038,N,X,,English (011),3.046,,,30,2,N,35,7,N
12,Female,White,55038,Y,,,English (011),2.805,2023,1,31,3,N,,,
12,Male,White,55038,N,X,,English (011),3.107,,,31,3,N,,,
11,Male,White,55038,Y,,,English (011),2.373,2021,1,31,3,N,,,
11,Male,White,55038,N,,,English (011),2.462,,,31,3,N,38,12,N
10,Male,White,55038,Y,,,English (011),2.002,2022,2,31,3,N,31,3,N
10,Female,Hispanic,55038,N,,,English (011),2.269,,,31,3,N,30,2,N
10,Male,White,55038,N,,,English (011),2.426,,,31,3,N,31,3,N
10,Male,White,55038,N,,,English (011),2.454,,,31,3,N,48,42,T
10,Male,White,55038,N,,,English (011),3.213,,,31,3,N,31,3,N
9,Male,White,55038,N,,,English (011),2.223,,,31,3,N,30,2,N
9,Male,Black or African American,55038,N,,Served,"Oromo, Afaan Oromo, Oromiffa (074)",2.89,,,31,3,N,31,3,N
12,Female,Two or More,55038,N,X,,English (011),2.417,2021,1,32,4,N,,,
11,Male,White,55038,N,,,English (011),1.266,,,32,4,N,,,
11,Female,White,55038,N,,,English (011),3.178,,,32,4,N,29,2,N
11,Female,White,55038,N,,,English (011),3.91,2023,1,32,4,N,34,5,N
10,Female,Asian,55038,N,X,,English (011),3.146,,,32,4,N,35,7,N
10,Female,White,55038,N,,,English (011),3.806,2023,1,32,4,N,41,18,T
9,Female,White,55038,N,,,English (011),0.668,,,32,4,N,34,5,N
9,Male,White,55038,Y,,,English (011),2.833,,,32,4,N,35,7,N
9,Male,White,55038,N,,,English (011),3.167,,,32,4,N,,,
9,Female,White,55038,N,,,English (011),3.723,,,32,4,N,38,12,N
12,Female,White,55038,N,X,,English (011),4.109,2023,17,33,4,N,32,4,N
11,Male,White,55038,N,,,English (011),3.559,2023,8,33,4,N,,,
9,Female,White,55038,N,,,English (011),2.444,,,33,4,N,34,5,N
11,Male,White,55038,N,,,English (011),1.63,,,34,5,N,35,7,N
11,Female,White,55038,N,,,English (011),3.355,2023,1,34,5,N,43,24,T
11,Male,White,55038,N,X,,English (011),3.551,,,34,5,N,36,8,N
10,Male,Asian,55038,N,,,English (011),3.951,2023,1,34,5,N,40,16,N
9,Male,Two or More,55038,N,,,English (011),2.694,,,34,5,N,37,10,N
9,Male,White,55038,N,,,English (011),2.833,,,34,5,N,35,7,N
9,Female,White,55038,N,,,English (011),3.502,,,34,5,N,,,
11,Male,White,55038,N,X,,English (011),3.006,,,35,7,N,39,14,N
11,Male,White,55038,N,,,English (011),3.006,,,35,7,N,46,34,T
11,Female,White,55038,N,,,English (011),3.295,2023,7,35,7,N,,,
11,Male,White,55038,N,,,English (011),3.335,2023,5,35,7,N,38,12,N
11,Male,White,55038,N,,,English (011),3.367,,,35,7,N,33,4,N
11,Female,White,55038,N,,,English (011),3.711,,,35,7,N,47,38,T
11,Male,White,55038,N,,,English (011),3.899,2023,12,35,7,N,,,
11,Male,White,55038,N,,,English (011),3.9,2023,6,35,7,N,33,4,N
10,Male,White,55038,N,,,English (011),2.704,2023,1,35,7,N,35,7,N
9,Female,Two or More,55038,N,,,English (011),1.223,,,35,7,N,,,
9,Female,White,55038,Y,,,English (011),2.779,,,35,7,N,39,14,N
9,Male,White,55038,N,,,English (011),3.278,,,35,7,N,37,10,N
12,Male,White,55038,Y,,,English (011),1.671,2023,4,36,8,N,,,
12,Male,White,55038,N,,,English (011),2.375,,,36,8,N,,,
12,Male,White,55038,N,,,English (011),4.153,2023,12,36,8,N,,,
11,Female,White,55038,N,,,English (011),3.942,2022,2,36,8,N,,,
10,Female,White,55038,N,,,English (011),2.812,2023,2,36,8,N,,,
10,Female,White,55038,N,,,English (011),2.991,,,36,8,N,42,21,T
10,Male,White,55038,N,,,English (011),3.26,,,36,8,N,38,12,N
10,Male,White,55038,N,,,English (011),3.723,2023,2,36,8,N,33,4,N
9,Female,Hispanic,55038,N,,,English (011),3.555,,,36,8,N,43,24,T
9,Female,White,55038,N,,,English (011),3.778,,,36,8,N,36,8,N
12,Female,White,55038,N,X,,English (011),3.028,2022,3,37,10,N,38,12,N
12,Male,White,55038,N,,,English (011),4.08,2023,12,37,10,N,,,
11,Male,White,55038,N,,,English (011),1.943,,,37,10,N,31,3,N
11,Male,White,55038,N,,,English (011),2.986,2023,2,37,10,N,,,
11,Male,White,55038,N,,,English (011),3.592,2022,3,37,10,N,,,
10,Male,White,55038,N,,,English (011),2.704,,,37,10,N,41,18,T
10,Male,White,55038,Y,,,English (011),2.818,2022,1,37,10,N,36,8,N
10,Male,White,55038,Y,,,English (011),2.899,,,37,10,N,36,8,N
10,Male,White,55038,N,,,English (011),3.64,,,37,10,N,40,16,N
10,Male,White,55038,N,,,English (011),3.662,2023,1,37,10,N,34,5,N
10,Female,White,55038,N,,,English (011),3.676,,,37,10,N,37,10,N
9,Male,White,55038,Y,,,English (011),3,,,37,10,N,42,21,T
9,Male,White,55038,N,,,English (011),3.082,,,37,10,N,46,34,T
9,Female,White,55038,N,,,English (011),3.39,,,37,10,N,29,2,N
9,Female,Black or African American,55038,N,,,English (011),4,,,37,10,N,36,8,N
12,Female,White,55038,N,,,English (011),1.349,,,38,12,N,,,
12,Male,White,55038,N,,,English (011),1.953,,,38,12,N,,,
12,Male,White,55038,Y,,,English (011),3.824,,,38,12,N,41,18,T
11,Male,White,55038,N,,,English (011),2.65,,,38,12,N,37,10,N
11,Female,White,55038,N,,,English (011),3.001,2023,3,38,12,N,40,16,N
11,Male,White,55038,N,,,English (011),3.059,2022,2,38,12,N,,,
11,Male,Hispanic,55038,N,,,Spanish (045),3.142,2023,6,38,12,N,45,31,T
11,Male,White,55038,N,,,English (011),3.612,,,38,12,N,41,18,T
11,Male,White,55038,N,,,English (011),3.952,2023,3,38,12,N,,,
10,Male,White,55038,N,,,English (011),1.942,2022,2,38,12,N,39,14,N
10,Male,White,55038,N,,,English (011),3.676,2023,2,38,12,N,44,27,T
10,Female,White,55038,N,,,English (011),4.007,2023,1,38,12,N,38,12,N
9,Male,White,55038,N,,,English (011),2.307,,,38,12,N,42,21,T
9,Female,White,55038,N,,,English (011),2.361,,,38,12,N,,,
9,Male,Two or More,55038,N,,,English (011),2.947,,,38,12,N,36,8,N
9,Female,Hispanic,55038,Y,,Served,Spanish (045),3.034,,,38,12,N,42,21,T
